Time,Ciudad Vieja,Punta Carretas,Curva de Maroñas,La Blanqueada,Prado,Lezica,Casavalle,Carrasco,Manga,Cerro,Felipe Cardoso,Malvín,La Esperanza,Santiago Vázquez,Colón,Paso de la Arena
2024-12-01 06:49:10,,,,,0.00,,,,,,,,,,,
2024-12-01 06:49:12,,,,,,0.00,,,,,,,,,,
2024-12-01 06:49:15,,,,,,,,,,0.00,,,,,,
2024-12-01 06:49:45,,,,,,,,,,,,,0.25,,,
2024-12-01 06:49:46,,,,,,,,,,,,,,,0.00,
2024-12-01 06:49:50,,,0.00,,,,,,,,,,,,,
2024-12-01 06:49:54,,,,,,,,,,,,,,,,0.00
2024-12-01 06:49:55,,0.00,,,,,,,,,,,,,,
2024-12-01 06:50:29,0.00,,,,,,,,,,,,,,,
2024-12-01 06:50:36,,,,,,,,,0.00,,,,,,,
2024-12-01 06:50:49,,,,,,,,,,,0.00,,,,,
2024-12-01 06:50:51,,,,0.00,,,,,,,,,,,,
2024-12-01 06:51:41,,,,,,,,,,,,0.00,,,,
2024-12-01 06:53:36,,,,,,,0.00,,,,,,,,,
2024-12-01 06:53:36,,,,,,,,,,,,,,0.25,,
2024-12-01 06:53:50,,,,,,,,0.25,,,,,,,,
2024-12-01 06:54:10,,,,,0.00,,,,,,,,,,,
2024-12-01 06:54:12,,,,,,0.00,,,,,,,,,,
2024-12-01 06:54:15,,,,,,,,,,0.00,,,,,,
2024-12-01 06:54:45,,,,,,,,,,,,,,,0.00,
2024-12-01 06:54:45,,,,,,,,,,,,,0.25,,,
2024-12-01 06:54:50,,,0.00,,,,,,,,,,,,,
2024-12-01 06:54:54,,,,,,,,,,,,,,,,0.00
2024-12-01 06:54:55,,0.25,,,,,,,,,,,,,,
2024-12-01 06:55:29,0.00,,,,,,,,,,,,,,,
2024-12-01 06:55:36,,,,,,,,,0.00,,,,,,,
2024-12-01 06:55:49,,,,,,,,,,,0.00,,,,,
2024-12-01 06:55:51,,,,0.00,,,,,,,,,,,,
2024-12-01 06:56:41,,,,,,,,,,,,0.00,,,,
2024-12-01 06:58:36,,,,,,,0.00,,,,,,,,,
2024-12-01 06:58:36,,,,,,,,,,,,,,0.25,,
2024-12-01 06:58:50,,,,,,,,0.25,,,,,,,,
2024-12-01 06:59:10,,,,,0.00,,,,,,,,,,,
2024-12-01 06:59:12,,,,,,0.25,,,,,,,,,,
2024-12-01 06:59:15,,,,,,,,,,0.00,,,,,,
2024-12-01 06:59:45,,,,,,,,,,,,,0.25,,,
2024-12-01 06:59:46,,,,,,,,,,,,,,,0.00,
2024-12-01 06:59:50,,,0.00,,,,,,,,,,,,,
2024-12-01 06:59:54,,,,,,,,,,,,,,,,0.00
2024-12-01 06:59:55,,0.25,,,,,,,,,,,,,,
2024-12-01 07:00:29,0.00,,,,,,,,,,,,,,,
2024-12-01 07:00:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:00:49,,,,,,,,,,,0.00,,,,,
2024-12-01 07:00:51,,,,0.00,,,,,,,,,,,,
2024-12-01 07:01:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:03:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:03:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:03:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:04:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:04:12,,,,,,0.25,,,,,,,,,,
2024-12-01 07:04:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:04:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:04:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:04:50,,,0.00,,,,,,,,,,,,,
2024-12-01 07:04:54,,,,,,,,,,,,,,,,0.00
2024-12-01 07:04:55,,0.25,,,,,,,,,,,,,,
2024-12-01 07:05:29,0.00,,,,,,,,,,,,,,,
2024-12-01 07:05:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:05:49,,,,,,,,,,,0.00,,,,,
2024-12-01 07:05:51,,,,0.25,,,,,,,,,,,,
2024-12-01 07:06:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:08:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:08:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:08:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:09:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:09:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:09:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:09:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:09:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:09:51,,,0.00,,,,,,,,,,,,,
2024-12-01 07:09:54,,,,,,,,,,,,,,,,0.00
2024-12-01 07:09:55,,0.25,,,,,,,,,,,,,,
2024-12-01 07:10:29,0.00,,,,,,,,,,,,,,,
2024-12-01 07:10:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:10:49,,,,,,,,,,,0.00,,,,,
2024-12-01 07:10:51,,,,0.25,,,,,,,,,,,,
2024-12-01 07:11:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:13:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:13:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:13:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:14:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:14:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:14:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:14:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:14:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:14:50,,,0.00,,,,,,,,,,,,,
2024-12-01 07:14:55,,0.25,,,,,,,,,,,,,,0.00
2024-12-01 07:15:29,0.00,,,,,,,,,,,,,,,
2024-12-01 07:15:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:15:51,,,,0.25,,,,,,,,,,,,
2024-12-01 07:15:51,,,,,,,,,,,0.00,,,,,
2024-12-01 07:16:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:18:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:18:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:18:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:19:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:19:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:19:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:19:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:19:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:19:50,,,0.00,,,,,,,,,,,,,
2024-12-01 07:19:55,,0.25,,,,,,,,,,,,,,0.00
2024-12-01 07:20:29,0.00,,,,,,,,,,,,,,,
2024-12-01 07:20:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:20:51,,,,,,,,,,,0.00,,,,,
2024-12-01 07:20:52,,,,0.25,,,,,,,,,,,,
2024-12-01 07:21:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:23:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:23:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:23:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:24:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:24:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:24:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:24:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:24:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:24:50,,,0.00,,,,,,,,,,,,,
2024-12-01 07:24:55,,,,,,,,,,,,,,,,0.00
2024-12-01 07:24:56,,0.25,,,,,,,,,,,,,,
2024-12-01 07:25:30,0.00,,,,,,,,,,,,,,,
2024-12-01 07:25:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:25:51,,,,,,,,,,,0.00,,,,,
2024-12-01 07:25:52,,,,0.25,,,,,,,,,,,,
2024-12-01 07:26:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:28:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:28:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:28:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:29:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:29:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:29:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:29:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:29:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:29:50,,,0.00,,,,,,,,,,,,,
2024-12-01 07:29:55,,0.25,,,,,,,,,,,,,,0.00
2024-12-01 07:30:30,0.00,,,,,,,,,,,,,,,
2024-12-01 07:30:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:30:51,,,,,,,,,,,0.00,,,,,
2024-12-01 07:30:52,,,,0.25,,,,,,,,,,,,
2024-12-01 07:31:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:33:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:33:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:33:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:34:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:34:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:34:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:34:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:34:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:34:50,,,0.00,,,,,,,,,,,,,
2024-12-01 07:34:55,,,,,,,,,,,,,,,,0.00
2024-12-01 07:34:56,,0.25,,,,,,,,,,,,,,
2024-12-01 07:35:29,0.00,,,,,,,,,,,,,,,
2024-12-01 07:35:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:35:51,,,,,,,,,,,0.00,,,,,
2024-12-01 07:35:52,,,,0.25,,,,,,,,,,,,
2024-12-01 07:36:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:38:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:38:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:38:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:39:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:39:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:39:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:39:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:39:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:39:50,,,0.00,,,,,,,,,,,,,
2024-12-01 07:39:55,,,,,,,,,,,,,,,,0.00
2024-12-01 07:39:57,,0.25,,,,,,,,,,,,,,
2024-12-01 07:40:30,0.00,,,,,,,,,,,,,,,
2024-12-01 07:40:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:40:51,,,,,,,,,,,0.00,,,,,
2024-12-01 07:40:52,,,,0.25,,,,,,,,,,,,
2024-12-01 07:41:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:43:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:43:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:43:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:44:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:44:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:44:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:44:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:44:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:44:50,,,0.00,,,,,,,,,,,,,
2024-12-01 07:44:55,,,,,,,,,,,,,,,,0.25
2024-12-01 07:44:56,,0.25,,,,,,,,,,,,,,
2024-12-01 07:45:30,0.00,,,,,,,,,,,,,,,
2024-12-01 07:45:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:45:51,,,,,,,,,,,0.00,,,,,
2024-12-01 07:45:52,,,,0.25,,,,,,,,,,,,
2024-12-01 07:46:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:48:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:48:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:48:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:49:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:49:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:49:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:49:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:49:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:49:51,,,0.00,,,,,,,,,,,,,
2024-12-01 07:49:55,,,,,,,,,,,,,,,,0.25
2024-12-01 07:49:56,,0.25,,,,,,,,,,,,,,
2024-12-01 07:50:30,0.00,,,,,,,,,,,,,,,
2024-12-01 07:50:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:50:51,,,,,,,,,,,0.00,,,,,
2024-12-01 07:50:52,,,,0.25,,,,,,,,,,,,
2024-12-01 07:51:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:53:36,,,,,,,0.00,,,,,,,,,
2024-12-01 07:53:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:53:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:54:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:54:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:54:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:54:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:54:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:54:51,,,0.00,,,,,,,,,,,,,
2024-12-01 07:54:55,,,,,,,,,,,,,,,,0.25
2024-12-01 07:54:56,,0.25,,,,,,,,,,,,,,
2024-12-01 07:55:30,0.00,,,,,,,,,,,,,,,
2024-12-01 07:55:36,,,,,,,,,0.00,,,,,,,
2024-12-01 07:55:51,,,,,,,,,,,0.00,,,,,
2024-12-01 07:55:52,,,,0.25,,,,,,,,,,,,
2024-12-01 07:56:41,,,,,,,,,,,,0.00,,,,
2024-12-01 07:58:36,,,,,,,0.00,,,,,,,,,
