FECHA;INUMET
1/11/2024;0
2/11/2024;0
3/11/2024;4.4
4/11/2024;0
5/11/2024;7.5
6/11/2024;0
7/11/2024;0
8/11/2024;0.7
9/11/2024;0
10/11/2024;0
11/11/2024;3.4
12/11/2024;0
13/11/2024;0
14/11/2024;0
15/11/2024;0
16/11/2024;0
17/11/2024;1.9
18/11/2024;21.6
19/11/2024;0
20/11/2024;0
21/11/2024;0
22/11/2024;0
23/11/2024;0
24/11/2024;0
25/11/2024;10.8
26/11/2024;0.1
27/11/2024;24.1
28/11/2024;0.3
29/11/2024;14.1
30/11/2024;0
