"Time","Ciudad Vieja","Punta Carretas","Curva de Maroñas","La Blanqueada","Prado","Lezica","Casavalle","Carrasco","Manga","Cerro","Malvín","La Esperanza","Santiago Vázquez","Colón","Paso de la Arena"
2024-11-26 00:37:56,,,,,,,,,,,,,,0.00,
2024-11-26 00:38:02,,,,,0.00,,,,,,,,,,
2024-11-26 00:38:05,,,,,,0.00,,,,,,,,,
2024-11-26 00:38:06,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 00:38:21,,,,,,,,,,0.00,,,,,
2024-11-26 00:38:39,0.20,,,,,,,,,,,,,,
2024-11-26 00:39:04,,,,,,,,,,,,0.00,,,
2024-11-26 00:40:16,,,,0.00,,,,,,,,,,,
2024-11-26 00:40:30,,,,,,,,,,,,,0.00,,
2024-11-26 00:40:41,,,,,,,,,,,0.00,,,,
2024-11-26 00:41:07,,,,,,,,0.00,,,,,,,
2024-11-26 00:42:26,,,,,,,,,0.00,,,,,,
2024-11-26 00:42:55,,,,,,,0.00,,,,,,,,
2024-11-26 00:42:56,,,,,,,,,,,,,,0.00,
2024-11-26 00:43:02,,,,,0.00,,,,,,,,,,
2024-11-26 00:43:05,,,,,,0.00,,,,,,,,,
2024-11-26 00:43:06,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 00:43:21,,,,,,,,,,0.00,,,,,
2024-11-26 00:43:39,0.20,,,,,,,,,,,,,,
2024-11-26 00:44:04,,,,,,,,,,,,0.00,,,
2024-11-26 00:45:16,,,,0.00,,,,,,,,,,,
2024-11-26 00:45:30,,,,,,,,,,,,,0.00,,
2024-11-26 00:45:41,,,,,,,,,,,0.00,,,,
2024-11-26 00:46:07,,,,,,,,0.00,,,,,,,
2024-11-26 00:47:26,,,,,,,,,0.00,,,,,,
2024-11-26 00:47:55,,,,,,,0.00,,,,,,,,
2024-11-26 00:47:56,,,,,,,,,,,,,,0.00,
2024-11-26 00:48:02,,,,,0.00,,,,,,,,,,
2024-11-26 00:48:05,,,,,,0.00,,,,,,,,,
2024-11-26 00:48:06,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 00:48:21,,,,,,,,,,0.00,,,,,
2024-11-26 00:48:40,0.20,,,,,,,,,,,,,,
2024-11-26 00:49:04,,,,,,,,,,,,0.00,,,
2024-11-26 00:50:16,,,,0.00,,,,,,,,,,,
2024-11-26 00:50:30,,,,,,,,,,,,,0.00,,
2024-11-26 00:50:41,,,,,,,,,,,0.00,,,,
2024-11-26 00:51:07,,,,,,,,0.00,,,,,,,
2024-11-26 00:52:26,,,,,,,,,0.00,,,,,,
2024-11-26 00:52:55,,,,,,,0.00,,,,,,,,
2024-11-26 00:52:56,,,,,,,,,,,,,,0.00,
2024-11-26 00:53:02,,,,,0.00,,,,,,,,,,
2024-11-26 00:53:05,,,,,,0.00,,,,,,,,,
2024-11-26 00:53:06,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 00:53:21,,,,,,,,,,0.00,,,,,
2024-11-26 00:53:39,0.20,,,,,,,,,,,,,,
2024-11-26 00:54:04,,,,,,,,,,,,0.00,,,
2024-11-26 00:55:16,,,,0.00,,,,,,,,,,,
2024-11-26 00:55:30,,,,,,,,,,,,,0.00,,
2024-11-26 00:55:41,,,,,,,,,,,0.00,,,,
2024-11-26 00:56:07,,,,,,,,0.00,,,,,,,
2024-11-26 00:57:26,,,,,,,,,0.00,,,,,,
2024-11-26 00:57:55,,,,,,,0.00,,,,,,,,
2024-11-26 00:57:56,,,,,,,,,,,,,,0.00,
2024-11-26 00:58:03,,,,,0.00,,,,,,,,,,
2024-11-26 00:58:05,,,,,,0.00,,,,,,,,,
2024-11-26 00:58:06,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 00:58:21,,,,,,,,,,0.00,,,,,
2024-11-26 00:58:39,0.20,,,,,,,,,,,,,,
2024-11-26 00:59:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:00:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:00:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:00:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:01:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:02:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:02:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:02:56,,,,,,,,,,,,,,0.00,
2024-11-26 01:03:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:03:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:03:06,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 01:03:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:03:39,0.20,,,,,,,,,,,,,,
2024-11-26 01:04:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:05:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:05:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:05:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:06:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:07:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:07:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:07:56,,,,,,,,,,,,,,0.00,
2024-11-26 01:08:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:08:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:08:06,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 01:08:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:08:39,0.20,,,,,,,,,,,,,,
2024-11-26 01:09:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:10:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:10:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:10:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:11:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:12:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:12:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:12:56,,,,,,,,,,,,,,0.00,
2024-11-26 01:13:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:13:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:13:06,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 01:13:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:13:39,0.20,,,,,,,,,,,,,,
2024-11-26 01:14:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:15:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:15:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:15:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:16:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:17:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:17:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:17:56,,,,,,,,,,,,,,0.00,
2024-11-26 01:18:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:18:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:18:06,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 01:18:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:18:39,0.20,,,,,,,,,,,,,,
2024-11-26 01:19:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:20:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:20:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:20:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:21:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:22:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:22:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:22:57,,,,,,,,,,,,,,0.00,
2024-11-26 01:23:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:23:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:23:06,,,0.00,,,,,,,,,,,,0.00
2024-11-26 01:23:07,,0.00,,,,,,,,,,,,,
2024-11-26 01:23:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:23:44,0.20,,,,,,,,,,,,,,
2024-11-26 01:24:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:25:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:25:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:25:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:26:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:27:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:27:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:27:57,,,,,,,,,,,,,,0.00,
2024-11-26 01:28:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:28:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:28:06,,,0.00,,,,,,,,,,,,0.00
2024-11-26 01:28:07,,0.00,,,,,,,,,,,,,
2024-11-26 01:28:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:28:44,0.20,,,,,,,,,,,,,,
2024-11-26 01:29:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:30:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:30:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:30:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:31:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:32:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:32:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:32:57,,,,,,,,,,,,,,0.00,
2024-11-26 01:33:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:33:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:33:06,,,0.00,,,,,,,,,,,,0.00
2024-11-26 01:33:07,,0.00,,,,,,,,,,,,,
2024-11-26 01:33:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:33:45,0.20,,,,,,,,,,,,,,
2024-11-26 01:34:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:35:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:35:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:35:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:36:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:37:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:37:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:37:57,,,,,,,,,,,,,,0.00,
2024-11-26 01:38:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:38:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:38:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 01:38:21,,,,,,,,,,0.00,,,,,
