FECHA,INUMET
01/02/2025,0.0
02/02/2025,0.0
03/02/2025,0.0
04/02/2025,0.0
05/02/2025,0.0
06/02/2025,25.6
07/02/2025,0.0
08/02/2025,0.0
09/02/2025,0.0
10/02/2025,0.0
11/02/2025,0.0
12/02/2025,18.0
13/02/2025,0.9
14/02/2025,0.0
15/02/2025,0.5
16/02/2025,0.0
17/02/2025,1.1
18/02/2025,0.0
19/02/2025,0.0
20/02/2025,0.0
21/02/2025,0.0
22/02/2025,0.5
23/02/2025,0.0
24/02/2025,0.0
25/02/2025,0.0
26/02/2025,0.0
27/02/2025,0.0
28/02/2025,0.0
