Carrasco
""
2.0
""
0.0
""
0.0
""
0.0
""
0.0
""
0.51
5.84
9.4
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.16
10.92
11.43
13.21
17.53
24.38
27.69
28.45
28.45
28.45
28.7
29.46
30.23
30.48
30.99
31.24
32.26
32.77
33.02
33.53
35.81
37.08
37.34
37.59
37.59
37.59
37.85
38.1
40.39
41.15
43.18
43.43
43.43
43.94
44.2
44.2
44.2
44.2
44.2
44.2
44.2
44.2
44.2
44.2
44.2
44.2
44.2
44.2
44.2
44.2
44.45
44.45
44.7
44.96
44.96
45.47
45.97
45.97
46.23
46.23
46.23
46.23
46.23
46.23
46.23
46.23
46.48
46.48
46.74
46.74
47.24
47.24
47.5
47.5
47.5
47.5
47.5
47.75
47.75
47.75
48.01
48.01
48.01
48.01
48.01
48.26
48.26
48.26
48.26
48.26
48.51
48.51
48.51
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
48.77
