Ciudad Vieja,Punta Carretas,Curva de Maroñas,La Blanqueada,Prado,Lezica,Casavalle,Carrasco,Manga,Cerro,Felipe Cardoso,Malvín,La Esperanza,Santiago Vázquez,Colón,Paso de la Arena,INUMET
1.0,0.9864662926938631,0.9705929675799521,0.9612745956314537,0.9707893762688561,0.9184728106513598,,0.9827371073769112,0.8969455190557849,0.6412046102245635,-0.008915854380386728,-0.006961432097551879,0.9556893802248646,0.5514673384930149,,0.94686235000647,-0.048473144648655826
,1.0,0.9830815920493834,0.9900304051328586,0.991354865198919,0.9604884937480986,,0.9965213899370218,0.9516421974160837,0.7449626247051524,-0.09464018894777683,-0.06699251843614064,0.9802399001448472,0.5757053233999635,,0.9836870129489934,0.011401523440980877
,,1.0,0.988746342571254,0.9904201503265638,0.956264858538743,,0.9811204009300456,0.9569945476202452,0.7776105121706041,0.0021947871227043455,-0.018467821015136103,0.9929748949855332,0.6671195048339988,,0.9819488322321862,0.02037262209861737
,,,1.0,0.9956568282589455,0.9803253943556604,,0.9864872072116946,0.9775724428550152,0.8237351635108747,-0.07235097697471211,-0.05134222188101648,0.9867325999020413,0.6533237205210659,,0.9971356134856343,0.06334227205773067
,,,,1.0,0.9703582441655169,,0.9872765583937789,0.9733189035101921,0.8022788187461664,-0.06311972660908105,-0.048258434260210745,0.987355753250205,0.6459996146942268,,0.9932830888749884,0.11028920798150225
,,,,,1.0,,0.9595669850637828,0.9709014076762734,0.8462966602233566,-0.15411618192436338,-0.08547784478668433,0.9631026499464025,0.5963788411092827,,0.9838593926704042,0.09189749053759014
,,,,,,,,,,,,,,,,
,,,,,,,1.0,0.9503534305397574,0.7448871431996072,-0.09314392326273312,-0.09443557017622632,0.980518157407635,0.5741998482911459,,0.9811768335596409,0.0012134136297234182
,,,,,,,,1.0,0.9046883561847444,-0.1717977839685128,-0.17830758975445263,0.970368100589707,0.6487339091539384,,0.9897070490084364,0.20460363960926062
,,,,,,,,,1.0,-0.15565291964351435,-0.16997311761727438,0.7997943897717764,0.7310463694129925,,0.8495437522022151,0.37901310360177665
,,,,,,,,,,1.0,0.5952155015618076,-0.08328964114775957,0.5154453011850796,,-0.11868611739238269,-0.14872414929750555
,,,,,,,,,,,1.0,-0.07452049318044476,0.304232707343985,,-0.11051199252664176,-0.14722409412094192
,,,,,,,,,,,,1.0,0.6188823603295569,,0.9855327063783536,0.04415188111502139
,,,,,,,,,,,,,1.0,,0.640267824534028,0.23523168909308875
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.0,0.11021301751039199
,,,,,,,,,,,,,,,,1.0
